domain,domain_tld,is_dga
api.wunderground.com,com,0
stork79.dropbox.com,com,0
hpca-tier2.office.aol.com.ad.aol.aoltw.net,net,1
safebrowsing.clients.google.com.home,home,0
fxfeeds.mozilla.com,com,0
www.metasploit.com,com,0
aolmtcmxm03.office.aol.com,com,1
aolmtcmxm02.office.aol.com.ad.aol.aoltw.net,net,1
aolmtcmxm02.office.aol.com,com,1
hpca-tier2.office.aol.com,com,0
aolmtcmxm03.office.aol.com.ad.aol.aoltw.net,net,1
aolmtcmxm04.office.aol.com,com,1
safebrowsing.clients.google.com,com,0
wpad.home,home,0
safebrowsing.clients.google.com.stayonline.net,net,0
aolmtcmxm04.office.aol.com.ad.aol.aoltw.net,net,1
AOLDTCMA04.ad.aol.aoltw.net.office.aol.com,com,0
AOLDTCMA04.office.aol.com,com,0
192.168.22.110phpmyadmin,110phpmyadmin,1
secure.informaction.com,com,0
secure.informaction.com.localdomain,localdomain,0
safebrowsing.clients.google.com.localdomain,localdomain,0
ueip.vmware.com,com,0
en-us.fxfeeds.mozilla.com,com,0
192.168.22.110phpmyadmin.localdomain,localdomain,1
time.windows.com,com,0
softwareupdate.vmware.com,com,0
proxim.ntkrnlpa.info,info,1
portswigger.net,net,0
www.offensive-security.com,com,0
www.offensive-security.com.stayonline.net,net,0
www.stopbadware.org,org,0
AOLDTCMA04.ad.aol.aoltw.net,net,1
gg.arrancar.org,org,0
www.sql-ledger.org,org,0
www.backtrack-linux.org,org,0
www.backtrack-linux.org.stayonline.net,net,0
en-us.start3.mozilla.com,com,0
www.theanime.cn,cn,0
www.theanime.cn. , ,0
wpad.aol.aoltw.net,net,0
wpad.aoltw.net,net,0
tools.google.com.ad.aol.aoltw.net,net,1
safebrowsing.clients.google.com.hackerlabs.vpn,vpn,1
secure.informaction.com.stayonline.net,net,0
wpad.ad.aol.aoltw.net,net,0
knoa-coll.ops.aol.com,com,0
knoa-coll.ops.aol.com.ad.aol.aoltw.net,net,0
www.phpmyadmin.net,net,0
tools.google.com,com,0
toolbarqueries.clients.google.com,com,0
teredo.ipv6.microsoft.com,com,0
secure.informaction.com.home,home,0
toolbarqueries.clients.google.com.ad.aol.aoltw.net,net,0
secure.informaction.com.hsd1.pa.comcast.net,net,1
clients1.google.com,com,0
clients1.google.com.ad.aol.aoltw.net,net,1
ntp.ubuntu.com,com,0
en-us.www.mozilla.com,com,0
data.alexa.com,com,0
www.postgresql.org,org,0
sourceforge.net,net,0
www.freepbx.org,org,0
